time_s,speed_kph
0,0.0
1,1.25
2,2.5
3,3.75
4,5.0
5,6.25
6,7.5
7,8.75
8,10.0
9,11.25
10,12.5
11,13.75
12,15.0
13,16.25
14,17.5
15,18.75
16,20.0
17,21.25
18,22.5
19,23.75
20,25.0
21,26.25
22,27.5
23,28.75
24,30.0
25,31.25
26,32.5
27,33.75
28,35.0
29,36.25
30,37.5
31,38.75
32,40.0
33,41.25
34,42.5
35,43.75
36,45.0
37,46.25
38,47.5
39,48.75
40,50.0
41,50.0
42,50.0
43,50.0
44,50.0
45,50.0
46,50.0
47,50.0
48,50.0
49,50.0
50,50.0
51,52.5
52,55.0
53,57.5
54,60.0
55,62.5
56,65.0
57,67.5
58,70.0
59,72.5
60,75.0
61,77.5
62,80.0
63,80.0
64,80.0
65,80.0
66,80.0
67,80.0
68,80.0
69,80.0
70,80.0
71,85.0
72,90.0
73,95.0
74,100.0
75,100.0
76,100.0
77,95.0
78,90.0
79,85.0
80,80.0
81,75.0
82,70.0
83,65.0
84,60.0
85,55.0
86,50.0
87,45.0
88,40.0
89,35.0
90,30.0
91,25.0
92,20.0
93,15.0
94,10.0
95,5.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,1.25
103,2.5
104,3.75
105,5.0
106,6.25
107,7.5
108,8.75
109,10.0
110,11.25
111,12.5
112,13.75
113,15.0
114,16.25
115,17.5
116,18.75
117,20.0
118,21.25
119,22.5
120,23.75
121,25.0
122,26.25
123,27.5
124,28.75
125,30.0
126,31.25
127,32.5
128,33.75
129,35.0
130,36.25
131,37.5
132,38.75
133,40.0
134,41.25
135,42.5
136,43.75
137,45.0
138,46.25
139,47.5
140,48.75
141,50.0
142,50.0
143,50.0
144,50.0
145,50.0
146,50.0
147,50.0
148,50.0
149,50.0
150,50.0
151,45.0
152,40.0
153,35.0
154,30.0
155,25.0
156,20.0
157,15.0
158,10.0
159,5.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,10.0
172,20.0
173,30.0
174,40.0
175,50.0
176,50.0
177,50.0
178,40.0
179,30.0
180,20.0
