t,v_mps,v_kph,acc_mps2,P_req_shaft_W,P_brake_avail_shaft_W,P_engine_mech_W,P_motor_mech_W,P_batt_W,SOC,engine_on,fuel_total_L
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,False,0.0
1.0,0.1388888888888889,0.5,0.1388888888888889,49.40291647795894,0.0,0.0,49.40291647795894,53.69882225865102,0.5999790647866439,False,0.0
2.0,0.2777777777777778,1.0,0.1388888888888889,98.81184329710146,0.0,0.0,98.81184329710146,107.40417749684941,0.5999371918129608,False,0.0
3.0,0.41666666666666663,1.5,0.13888888888888884,148.23279079861106,0.0,0.0,148.23279079861106,161.12259869414245,0.5998743759850099,False,0.0
4.0,0.5555555555555556,2.0,0.13888888888888895,197.67176932367155,0.0,0.0,197.67176932367155,214.86061883007775,0.5997906096618792,False,0.0
5.0,0.6944444444444444,2.5,0.13888888888888884,247.13478921346612,0.0,0.0,247.13478921346612,268.6247708842023,0.5996858826556867,False,0.0
6.0,0.8333333333333333,3.0,0.13888888888888884,296.6278608091786,0.0,0.0,296.6278608091786,322.42158783606374,0.5995601822315789,False,0.0
7.0,0.9722222222222222,3.5,0.13888888888888895,346.1569944519929,0.0,0.0,346.1569944519929,376.2576026652096,0.5994134931077328,False,0.0
8.0,1.1111111111111112,4.0,0.13888888888888895,395.72820048309194,0.0,0.0,395.72820048309194,430.13934835118687,0.5992457974553542,False,0.0
9.0,1.25,4.5,0.13888888888888884,445.3474892436593,0.0,0.0,445.3474892436593,484.0733578735427,0.5990570748986784,False,0.0
10.0,1.3888888888888888,5.0,0.13888888888888884,495.0208710748791,0.0,0.0,495.0208710748791,538.066164211825,0.5988473025149701,False,0.0
11.0,1.5277777777777777,5.5,0.13888888888888884,544.7543563179346,0.0,0.0,544.7543563179346,592.1243003455811,0.5986164548345235,False,0.0
12.0,1.6666666666666665,6.0,0.13888888888888884,594.5539553140095,0.0,0.0,594.5539553140095,646.2542992543581,0.5983645038406622,False,0.0
13.0,1.8055555555555556,6.5,0.13888888888888906,644.425678404288,0.0,0.0,644.425678404288,700.4626939177043,0.598091418969739,False,0.0
14.0,1.9444444444444444,7.0,0.13888888888888884,694.3755359299516,0.0,0.0,694.3755359299516,754.7560173151647,0.5977971671111366,False,0.0
15.0,2.0833333333333335,7.500000000000001,0.13888888888888906,744.4095382321866,0.0,0.0,744.4095382321866,809.1408024262897,0.5974817126072668,False,0.0
16.0,2.2222222222222223,8.0,0.13888888888888884,794.5336956521737,0.0,0.0,794.5336956521737,863.6235822306236,0.5971450172535706,False,0.0
17.0,2.361111111111111,8.5,0.13888888888888884,844.754018531099,0.0,0.0,844.754018531099,918.2108897077162,0.5967870402985188,False,0.0
18.0,2.5,9.0,0.13888888888888884,895.0765172101447,0.0,0.0,895.0765172101447,972.9092578371138,0.5964077384436116,False,0.0
19.0,2.638888888888889,9.5,0.13888888888888884,945.507202030495,0.0,0.0,945.507202030495,1027.7252195983642,0.5960070658433783,False,0.0
20.0,2.7777777777777777,10.0,0.13888888888888884,996.052083333333,0.0,0.0,996.052083333333,1082.665307971014,0.5955849741053779,False,0.0
21.0,2.9166666666666665,10.5,0.13888888888888884,1046.7171714598426,0.0,0.0,1046.7171714598426,1137.7360559346114,0.5951414122901988,False,0.0
22.0,3.0555555555555554,11.0,0.13888888888888884,1097.5084767512074,0.0,0.0,1097.5084767512074,1192.9439964687035,0.5946763269114586,False,0.0
23.0,3.194444444444444,11.5,0.13888888888888884,1148.4320095486107,0.0,0.0,1148.4320095486107,1248.2956625528377,0.5941896619358045,False,0.0
24.0,3.333333333333333,12.0,0.13888888888888884,1199.4937801932363,0.0,0.0,1199.4937801932363,1303.797587166561,0.5936813587829131,False,0.0
25.0,3.4722222222222223,12.5,0.13888888888888928,1250.6997990262703,0.0,0.0,1250.6997990262703,1359.456303289424,0.5931513563254903,False,0.0
26.0,3.611111111111111,13.0,0.13888888888888884,1302.0560763888886,0.0,0.0,1302.0560763888886,1415.2783439009659,0.5925995908892716,False,0.0
27.0,3.75,13.5,0.13888888888888884,1353.5686226222824,0.0,0.0,1353.5686226222824,1471.2702419807417,0.5920259962530218,False,0.0
28.0,3.888888888888889,14.0,0.13888888888888884,1405.2434480676325,0.0,0.0,1405.2434480676325,1527.438530508296,0.5914305036485352,False,0.0
29.0,4.027777777777778,14.5,0.13888888888888884,1457.0865630661226,0.0,0.0,1457.0865630661226,1583.7897424631767,0.5908130417606353,False,0.0
30.0,4.166666666666667,15.000000000000002,0.13888888888888928,1509.1039779589396,0.0,0.0,1509.1039779589396,1640.3304108249342,0.5901735367271753,False,0.0
31.0,4.305555555555555,15.5,0.1388888888888884,1561.3017030872552,0.0,0.0,1561.3017030872552,1697.0670685731034,0.5895119121390376,False,0.0
32.0,4.444444444444445,16.0,0.13888888888888928,1613.6857487922734,0.0,0.0,1613.6857487922734,1754.0062486872537,0.5888280890401343,False,0.0
33.0,4.583333333333333,16.5,0.1388888888888884,1666.2621254151536,0.0,0.0,1666.2621254151536,1811.154484146906,0.5881219859274064,False,0.0
34.0,4.722222222222222,17.0,0.13888888888888928,1719.0368432971043,0.0,0.0,1719.0368432971043,1868.518307931635,0.5873935187508249,False,0.0
35.0,4.861111111111111,17.5,0.1388888888888884,1772.0159127792838,0.0,0.0,1772.0159127792838,1926.1042530209606,0.5866426009133898,False,0.0
36.0,5.0,18.0,0.13888888888888928,1825.2053442029014,0.0,0.0,1825.2053442029014,1983.9188523944579,0.5858691432711308,False,0.0
37.0,5.138888888888888,18.5,0.1388888888888884,1878.6111479091144,0.0,0.0,1878.6111479091144,2041.968639031646,0.5850730541331067,False,0.0
38.0,5.277777777777778,19.0,0.13888888888888928,1932.2393342391335,0.0,0.0,1932.2393342391335,2100.2601459121015,0.5842542392614062,False,0.0
39.0,5.416666666666667,19.5,0.13888888888888928,1986.0959135341216,0.0,0.0,1986.0959135341216,2158.7999060153493,0.5834126018711467,False,0.0
40.0,5.555555555555555,20.0,0.1388888888888884,2040.1868961352618,0.0,0.0,2040.1868961352618,2217.594452320937,0.5825480426304758,False,0.0
41.0,5.694444444444445,20.5,0.13888888888888928,2094.518292383759,0.0,0.0,2094.518292383759,2276.650317808434,0.58166045966057,False,0.0
42.0,5.833333333333333,21.0,0.1388888888888884,2149.096112620768,0.0,0.0,2149.096112620768,2335.9740354573564,0.5807497485356353,False,0.0
43.0,5.972222222222222,21.5,0.13888888888888928,2203.9263671875037,0.0,0.0,2203.9263671875037,2395.5721382472866,0.5798158022829073,False,0.0
44.0,6.111111111111111,22.0,0.1388888888888884,2259.015066425116,0.0,0.0,2259.015066425116,2455.4511591577348,0.578858511382651,False,0.0
45.0,6.25,22.5,0.13888888888888928,2314.3682206748226,0.0,0.0,2314.3682206748226,2515.6176311682852,0.5778777637681604,False,0.0
46.0,6.388888888888888,23.0,0.1388888888888884,2369.9918402777726,0.0,0.0,2369.9918402777726,2576.0780872584482,0.5768734448257594,False,0.0
